x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
1.12,-0.88,-0.234355369,-0.217898111,-0.192010264,-0.158840887,-0.121092277,-0.081753994,-0.043813416,-0.644263744,-0.924196908,-1.049764319
1.14,-0.86,-0.271059516,-0.245261983,-0.205539731,-0.156335871,-0.103007243,-0.051115652,-0.005710527,-0.721861229,-0.981204343,-1.038030522
1.16,-0.84,-0.306693914,-0.268757926,-0.21178785,-0.144007698,-0.074839143,-0.013298269,0.033479338,-0.78723969,-1.006086531,-0.985905461
1.18,-0.82,-0.341117932,-0.288015396,-0.210533278,-0.122630991,-0.039345266,0.026386817,0.066296549,-0.839666607,-1.001642864,-0.908959498
1.20,-0.80,-0.374195714,-0.302730691,-0.201820461,-0.093548928,-9.35944E-17,0.062365952,0.086494483,-0.878746866,-0.972295794,-0.823435359
1.22,-0.78,-0.405796715,-0.312671743,-0.185958053,-0.058588842,0.039345266,0.089585975,0.090228548,-0.904426511,-0.923670088,-0.743855565
1.24,-0.76,-0.435796223,-0.317681774,-0.163507988,-0.019947404,0.074839143,0.104223914,0.076787979,-0.916985985,-0.862094246,-0.681082353
1.26,-0.74,-0.464075842,-0.317681774,-0.135265572,0.019947404,0.103007243,0.104223914,0.048731133,-0.917023188,-0.794068541,-0.641113494
1.28,-0.72,-0.490523965,-0.312671743,-0.102231305,0.058588842,0.121092277,0.089585975,0.011398516,-0.905427013,-0.725745894,-0.624761403
1.30,-0.70,-0.515036215,-0.302730691,-0.065575443,0.093548928,0.127323954,0.062365952,-0.028103761,-0.883342349,-0.662469466,-0.628207275
1.32,-0.68,-0.537515852,-0.288015396,-0.026596538,0.122630991,0.121092277,0.026386817,-0.062256603,-0.852127786,-0.608404518,-0.644274305
1.34,-0.66,-0.557874159,-0.268757926,0.013324562,0.144007698,0.103007243,-0.013298269,-0.084559156,-0.813307523,-0.566292582,-0.664150007
1.36,-0.64,-0.576030792,-0.245261983,0.052773633,0.156335871,0.074839143,-0.051115652,-0.090766221,-0.768519142,-0.537344127,-0.679226001
1.38,-0.62,-0.591914095,-0.217898111,0.090353172,0.158840887,0.039345266,-0.081753994,-0.079696308,-0.719459034,-0.521272881,-0.682723184
1.40,-0.60,-0.605461383,-0.187097857,0.124731905,0.151365346,1.09194E-16,-0.10091023,-0.053456531,-0.667827335,-0.516461989,-0.67082875
1.42,-0.58,-0.616619192,-0.153346957,0.154691947,0.134378963,-0.039345266,-0.105893925,-0.017041521,-0.615274202,-0.520240504,-0.64317595
