x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
3.60,0.00,0.129096158,-0.011026991,-0.016815343,-0.008740788,-0.000822871,0.003157706,0.003235224,-0.021019503,-0.00420416,0.005359499,-0.00103343
3.62,0.00,0.12225783,-0.01426693,-0.017524576,-0.007821303,0.000460573,0.003813154,0.00298823,-0.01986397,-0.002339394,0.005021336,-0.001780048
3.64,0.00,0.115223914,-0.01741561,-0.017981758,-0.006702019,0.001725654,0.004250016,0.002508486,-0.018512041,-0.000530283,0.004446081,-0.002312421
3.66,0.00,0.108005665,-0.020452889,-0.018180313,-0.005411529,0.00292194,0.004443251,0.001833358,-0.016991576,0.001188737,0.003678326,-0.002598283
3.68,0.00,0.10061463,-0.02335934,-0.018117386,-0.003982799,0.004001737,0.00438178,0.001015432,-0.015330058,0.002787328,0.00276839,-0.002628821
3.70,0.00,0.093062633,-0.026116371,-0.017793881,-0.002452326,0.004921997,0.004069128,0.000118414,-0.013554447,0.004239434,0.001769763,-0.002417778
3.72,0.00,0.085361756,-0.028706345,-0.017214452,-0.000859209,0.005646033,0.003523217,-0.000787827,-0.011691048,0.005523404,0.000736579,-0.001998811
3.74,0.00,0.077524318,-0.031112698,-0.016387431,0.000755858,0.006144979,0.002775341,-0.001632705,-0.009765376,0.006622055,-0.000278782,-0.001421418
3.76,0.00,0.069562858,-0.033320035,-0.015324715,0.002351616,0.006398945,0.001868371,-0.002350412,-0.007802036,0.00752268,-0.001227881,-0.00074584
3.78,0.00,0.061490112,-0.035314237,-0.014041588,0.003887301,0.006397804,0.000854298,-0.002885049,-0.0058246,0.008216988,-0.002068118,-3.73677E-05
3.80,0.00,0.053318995,-0.037082549,-0.012556504,0.005323684,0.006141604,-0.000208746,-0.003194971,-0.003855505,0.008701,-0.002764288,0.000639429
3.82,0.00,0.045062578,-0.03861366,-0.010890824,0.00662407,0.005640557,-0.001259824,-0.00325604,-0.001915944,0.008974879,-0.003289747,0.001226116
3.84,0.00,0.036734072,-0.039897774,-0.009068504,0.007755242,0.004914639,-0.002238684,-0.003063498,-2.57826E-05,0.009042721,-0.003627159,0.001675023
3.86,0.00,0.028346799,-0.040926679,-0.007115753,0.008688302,0.003992789,-0.003089213,-0.002632344,0.001796532,0.008912285,-0.003768807,0.001952751
3.88,0.00,0.019914176,-0.041693793,-0.005060659,0.009399417,0.00291176,-0.003762657,-0.001996159,0.003534037,0.008594696,-0.003716481,0.002042334
3.90,0.00,0.011449696,-0.042194209,-0.002932779,0.009870419,0.001714648,-0.004220409,-0.001204494,0.00517132,0.008104099,-0.003480968,0.001943935
3.92,0.00,0.002966898,-0.042424726,-0.000762718,0.010089277,0.000449179,-0.004436231,-0.000319013,0.006694569,0.007457287,-0.003081168,0.001674075
3.94,0.00,-0.005520646,-0.042383869,0.001418314,0.0100504,-0.000834198,-0.004397749,0.000591316,0.008091617,0.006673303,-0.002542898,0.001263535
3.96,0.00,-0.013999358,-0.042071901,0.003578946,0.009754781,-0.002084318,-0.004107172,0.001455588,0.009351965,0.005773019,-0.001897444,0.000754139
3.98,0.00,-0.022455674,-0.041490816,0.005688103,0.009209972,-0.003251343,-0.003581154,0.002206486,0.010466806,0.004778703,-0.001179925,0.000194743
4.00,0.00,-0.030876066,-0.040644331,0.00771545,0.00842989,-0.004288747,-0.00284985,0.002785522,0.011429035,0.003713586,-0.000427558,-0.00036323
4.02,0.00,-0.039247063,-0.039537861,0.009631827,0.007434463,-0.005155172,-0.001955181,0.003147596,0.01223324,0.002601412,0.000322121,-0.000870294
4.04,0.00,-0.047555273,-0.038178484,0.011409673,0.00624912,-0.005816077,-0.000948433,0.003264507,0.012875689,0.001466016,0.001032973,-0.001283101
4.06,0.00,-0.055787404,-0.036574894,0.013023416,0.00490414,-0.006245113,0.000112682,0.003127148,0.01335431,0.000330894,0.001671867,-0.001567964
4.08,0.00,-0.063930288,-0.034737351,0.014449847,0.003433882,-0.006425176,0.001167339,0.002746219,0.01366865,-0.000781197,0.002210098,-0.00170346
4.10,0.00,-0.071970897,-0.032677606,0.01566845,0.001875903,-0.006349088,0.002155079,0.002151389,0.013819834,-0.001848617,0.002624568,-0.001681899
4.12,0.00,-0.079896368,-0.030408837,0.016661698,0.000270004,-0.006019882,0.003019281,0.001388989,0.013810504,-0.002851194,0.002898683,-0.001509586
4.14,0.00,-0.087694021,-0.027945555,0.017415305,-0.001342792,-0.005450681,0.003710405,0.000518402,0.01364476,-0.003770545,0.003022928,-0.001205878
4.16,0.00,-0.095351383,-0.025303516,0.017918433,-0.002921286,-0.00466418,0.004188834,-0.000392563,0.013328085,-0.004590348,0.002995118,-0.000801153
