x,f(x),S1(n=1),S2(n=3),S3(n=5),S4(n=7),F1,F2,F3
3.32,-1.00,-1.115748318,0.026649124,0.206014486,-0.169118313,-1.089099194,-0.883084708,-1.052203021
3.34,-1.00,-1.095930787,-0.01333114,0.226892948,-0.150438813,-1.109261927,-0.882368979,-1.032807792
3.36,-1.00,-1.075031703,-0.053193076,0.242184553,-0.124513207,-1.12822478,-0.886040227,-1.010553433
3.38,-1.00,-1.053071694,-0.092582867,0.251512771,-0.092590237,-1.145654561,-0.89414179,-0.986732028
3.40,-1.00,-1.03007243,-0.131150886,0.254647909,-0.056207522,-1.161223315,-0.906575406,-0.962782929
3.42,-1.00,-1.006056608,-0.1685548,0.251512771,-0.017117489,-1.174611408,-0.923098637,-0.940216127
3.44,-1.00,-0.98104793,-0.20446261,0.242184553,0.022797033,-1.18551054,-0.943325987,-0.920528954
3.46,-1.00,-0.955071077,-0.238555595,0.226892948,0.061613502,-1.193626672,-0.966733723,-0.905120221
3.48,-1.00,-0.928151683,-0.270531144,0.206014486,0.097462266,-1.198682827,-0.992668341,-0.895206075
3.50,-1.00,-0.900316316,-0.300105439,0.180063263,0.128616617,-1.200421755,-1.020358492,-0.891741875
3.52,-1.00,-0.871592446,-0.327015977,0.149678285,0.153575958,-1.198608422,-1.048930137,-0.895354179
3.54,-1.00,-0.842008418,-0.351023898,0.115607731,0.171138086,-1.193032316,-1.077424585,-0.906286499
3.56,-1.00,-0.811593431,-0.371916106,0.078690531,0.180457096,-1.183509537,-1.104819005,-0.924361909
3.58,-1.00,-0.780377498,-0.389507161,0.039835709,0.181084123,-1.169884659,-1.130048949,-0.948964826
3.60,-1.00,-0.748391427,-0.403640922,2.80783E-16,0.172988967,-1.152032349,-1.152032349,-0.979043382
3.62,-1.00,-0.715666784,-0.414191938,-0.039835709,0.156561541,-1.129858722,-1.169694431,-1.01313289
3.64,-1.00,-0.682235864,-0.421066557,-0.078690531,0.132593098,-1.103302421,-1.181992953,-1.049399855
3.66,-1.00,-0.64813166,-0.424203759,-0.115607731,0.102238112,-1.07233542,-1.187943151,-1.085705039
3.68,-1.00,-0.613387829,-0.423575699,-0.149678285,0.066958677,-1.036963528,-1.186641813,-1.119683136
3.70,-1.00,-0.578038657,-0.419187951,-0.180063263,0.028454078,-0.997226608,-1.177289871,-1.148835793
3.72,-1.00,-0.542119031,-0.411079461,-0.206014486,-0.011421053,-0.953198492,-1.159212978,-1.170634032
3.74,-1.00,-0.505664399,-0.399322201,-0.226892948,-0.050746073,-0.9049866,-1.131879548,-1.182625621
3.76,-1.00,-0.468710738,-0.384020528,-0.242184553,-0.087626833,-0.852731266,-1.094915819,-1.182542652
3.78,-1.00,-0.431294515,-0.365310262,-0.251512771,-0.120286917,-0.796604778,-1.048117548,-1.168404465
