x,f(x),S1(n=1),S2(n=3),S3(n=5),S4(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+S2+S3+S4
3.60,-0.40,-0.47644078,0.085655264,3.57504E-17,-0.0157326,-0.390785516,-0.390785516,-0.406518115
3.62,-0.38,-0.455607625,0.087894259,-0.00507204,-0.014238596,-0.367713366,-0.372785406,-0.387024002
3.64,-0.36,-0.434324841,0.089353099,-0.01001919,-0.01205877,-0.344971742,-0.354990932,-0.367049702
3.66,-0.34,-0.41261343,0.090018834,-0.014719634,-0.009298115,-0.322594597,-0.33731423,-0.346612345
3.68,-0.32,-0.39049482,0.089885555,-0.019057631,-0.006089603,-0.300609265,-0.319666896,-0.325756499
3.70,-0.30,-0.367990838,0.088954446,-0.022926367,-0.002587776,-0.279036392,-0.301962759,-0.304550535
3.72,-0.28,-0.345123694,0.087233771,-0.026230579,0.001038695,-0.257889923,-0.284120502,-0.283081807
3.74,-0.26,-0.321915955,0.084738803,-0.028888907,0.004615136,-0.237177152,-0.266066059,-0.261450923
3.76,-0.24,-0.298390523,0.081491687,-0.030835895,0.007969282,-0.216898836,-0.247734731,-0.239765449
3.78,-0.22,-0.274570616,0.077521245,-0.032023601,0.010939576,-0.197049371,-0.229072971,-0.218133396
3.80,-0.20,-0.250479741,0.07286272,-0.032422779,0.013382948,-0.177617022,-0.2100398,-0.196656852
3.82,-0.18,-0.226141673,0.067557459,-0.032023601,0.015181712,-0.158584214,-0.190607814,-0.175426102
3.84,-0.16,-0.20158043,0.061652554,-0.030835895,0.016249226,-0.139927876,-0.170763771,-0.154514545
3.86,-0.14,-0.176820251,0.055200416,-0.028888907,0.016534071,-0.121619835,-0.150508743,-0.133974671
3.88,-0.12,-0.151885573,0.048258316,-0.026230579,0.016022529,-0.103627257,-0.129857836,-0.113835307
3.90,-0.10,-0.126801001,0.040887871,-0.022926367,0.014739238,-0.08591313,-0.108839497,-0.094100259
3.92,-0.08,-0.101591293,0.033154503,-0.019057631,0.01274601,-0.06843679,-0.087494421,-0.074748411
3.94,-0.06,-0.076281326,0.025126853,-0.014719634,0.010138852,-0.051154473,-0.065874107,-0.055735255
3.96,-0.04,-0.050896078,0.016876175,-0.01001919,0.007043341,-0.034019903,-0.044039093,-0.036995752
3.98,-0.02,-0.025460602,0.008475703,-0.00507204,0.003608577,-0.016984899,-0.02205694,-0.018448363
4.00,0.00,-1.98614E-16,6.62045E-17,-3.97227E-17,2.83734E-17,-1.32409E-16,-1.72132E-16,-1.43758E-16
